"age","job","marital","education","default","balance","housing","loan","contact","day","month","campaign","pdays","previous","poutcome","Gender","y"
32,"blue-collar","married","secondary","no",136,"no","no","cellular",16,"nov",1,179,3,"success","Unknown","1"
38,"technician","married","secondary","no",4191,"yes","no","cellular",19,"nov",2,181,5,"failure","Unknown","0"
33,"blue-collar","divorced","secondary","no",693,"yes","no","cellular",6,"may",1,347,2,"other","1","0"
55,"blue-collar","divorced","primary","no",426,"no","yes","cellular",11,"jul",2,-1,0,"unknown","Unknown","0"
43,"blue-collar","married","primary","no",-66,"yes","no","telephone",15,"may",7,382,1,"failure","Unknown","0"
36,"blue-collar","married","primary","no",386,"yes","no","unknown",12,"jun",1,-1,0,"unknown","0","0"
31,"admin.","married","secondary","no",0,"yes","no","cellular",24,"jul",1,-1,0,"unknown","Unknown","0"
34,"technician","single","secondary","no",234,"no","no","cellular",22,"aug",2,-1,0,"unknown","Unknown","0"
42,"unknown","single","unknown","no",933,"no","no","cellular",27,"jan",1,88,2,"success","Unknown","1"
47,"blue-collar","single","primary","no",129,"yes","no","cellular",14,"may",1,327,3,"other","Unknown","0"
29,"blue-collar","married","secondary","no",245,"no","yes","cellular",6,"feb",2,203,1,"failure","Unknown","0"
41,"management","married","tertiary","no",14677,"no","no","cellular",22,"aug",9,-1,0,"unknown","Unknown","0"
35,"blue-collar","single","secondary","no",0,"yes","no","cellular",8,"may",1,386,1,"other","Unknown","0"
43,"management","married","tertiary","no",1458,"yes","no","cellular",7,"may",1,176,3,"success","Unknown","1"
36,"management","single","tertiary","no",432,"no","no","cellular",13,"apr",1,625,2,"failure","Unknown","1"
46,"blue-collar","married","primary","no",94,"yes","no","cellular",6,"may",1,349,2,"failure","Unknown","0"
48,"blue-collar","married","secondary","no",880,"yes","no","telephone",4,"may",5,368,2,"success","Unknown","1"
30,"technician","married","primary","no",98,"yes","no","cellular",15,"may",2,304,1,"failure","Unknown","0"
48,"blue-collar","single","unknown","no",441,"yes","no","cellular",18,"may",1,-1,0,"unknown","Unknown","0"
32,"management","single","tertiary","no",439,"no","no","cellular",21,"apr",1,-1,0,"unknown","Unknown","0"
30,"admin.","single","secondary","no",4448,"no","no","cellular",11,"feb",8,-1,0,"unknown","Unknown","1"
38,"management","married","unknown","no",3206,"no","no","unknown",19,"jun",1,-1,0,"unknown","Unknown","0"
36,"technician","single","secondary","no",23,"yes","no","cellular",18,"may",2,333,2,"failure","1","0"
56,"blue-collar","married","primary","no",428,"yes","no","unknown",9,"may",1,-1,0,"unknown","Unknown","0"
53,"admin.","married","secondary","no",1814,"no","no","telephone",15,"dec",1,185,1,"failure","Unknown","1"
55,"technician","married","tertiary","no",-475,"yes","no","cellular",15,"may",1,-1,0,"unknown","Unknown","1"
39,"management","married","tertiary","no",489,"no","no","cellular",9,"sep",1,178,5,"success","Unknown","1"
34,"management","married","tertiary","no",16,"yes","no","telephone",29,"sep",1,113,1,"other","Unknown","1"
28,"blue-collar","married","primary","yes",-124,"yes","no","cellular",21,"jul",3,-1,0,"unknown","Unknown","0"
34,"technician","married","secondary","no",355,"yes","no","cellular",18,"jul",1,-1,0,"unknown","Unknown","0"
52,"management","married","tertiary","no",1282,"yes","no","cellular",18,"nov",1,119,1,"other","Unknown","0"
37,"management","married","tertiary","no",3236,"no","no","cellular",20,"may",2,192,5,"other","Unknown","1"
34,"technician","married","secondary","no",4,"yes","no","cellular",2,"feb",2,271,1,"failure","Unknown","0"
49,"management","married","primary","no",320,"no","no","unknown",16,"jun",1,-1,0,"unknown","Unknown","0"
